[04:23:43] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[04:23:43] [INIT] Loaded plugins:
[04:23:43] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[04:23:43] [INIT] - net.mehvahdjukaar.sawmill.integration.KubeJsPlugin
[04:23:43] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbquests.kubejs.KubeJSIntegration
[04:23:43] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbteams.kubejs.FTBTeamsKubeJSPlugin
[04:23:43] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbfiltersystem.kubejs.FFSKubeJSPlugin
[04:23:43] [INIT] - com.bobvarioa.kubejsarsnouveau.KubeJSArsNouveauPlugin
[04:23:43] [INIT] - dev.latvian.mods.kubejs.create.KubeJSCreatePlugin
[04:23:43] [INIT] - qinomed.kubejsdelight.KubeJSDelightPlugin
[04:23:43] [INFO] Loaded script server_scripts:simplyswords.js in 0.005 s
[04:23:43] [INFO] Loaded script server_scripts:storage_item_changes.js in 0.001 s
[04:23:43] [INFO] Loaded script server_scripts:kubejs_enchantments_vanilla.js in 0.01 s
[04:23:43] [INFO] Loaded script server_scripts:kubejs_enchantments_ect.js in 0.002 s
[04:23:43] [INFO] Loaded script server_scripts:craisin.js in 0.003 s
[04:23:43] [INFO] Loaded script server_scripts:betterend_weapons.js in 0.007 s
[04:23:43] [INFO] Loaded script server_scripts:dirt.js in 0.001 s
[04:23:43] [INFO] Loaded script server_scripts:manipulation_essence_stone_conversions.js in 0.002 s
[04:23:43] [INFO] Loaded script server_scripts:everycomp.js in 0.009 s
[04:23:43] [INFO] Loaded script server_scripts:recipes.js in 0.011 s
[04:23:43] [INFO] Loaded script server_scripts:kubejs_enchantments_apotheosis.js in 0.006 s
[04:23:43] [INFO] Loaded script server_scripts:kubejs_eyes_of_ender.js in 0.0 s
[04:23:43] [INFO] Loaded script server_scripts:alexscaves.js in 0.002 s
[04:23:43] [INFO] Loaded script server_scripts:starterkit.js in 0.002 s
[04:23:43] [INFO] Loaded script server_scripts:betternether_and_end_compat.js in 0.003 s
[04:23:43] [INFO] Loaded script server_scripts:haunting_integrations.js in 0.003 s
[04:23:43] [INFO] Loaded script server_scripts:iceandfire.js in 0.001 s
[04:23:43] [INFO] Loaded script server_scripts:silver.js in 0.003 s
[04:23:43] [INFO] Loaded 18/18 KubeJS server scripts in 0.093 s with 0 errors and 0 warnings
[04:23:43] [INFO] Scripts loaded
[04:23:43] [INFO] Initializing recipe event...
[04:24:10] [INFO] Processing recipes...
[04:24:10] [WARN] Failed to parse recipe 'oreganized:waxed_indigo_concrete_powder[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'doom_and_gloom:rose_vigil_candle[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'neapolitan:cooking/adzuki_stew[farmersdelight:cooking]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:teal_crystal_glass[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'knavesneeds:betternether/cincinnasite_diamond/twinblade[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:forest_crystal_glass_pane[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'doom_and_gloom:amber_vigil_candle[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:maroon_crystal_glass[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:mint_crystal_glass_pane[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:waxed_rose_concrete_powder[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'doom_and_gloom:tan_vigil_candle_dyeing[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:amber_crystal_glass[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'doom_and_gloom:aqua_vigil_candle_dyeing[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'doom_and_gloom:slate_vigil_candle_dyeing[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'doom_and_gloom:navy_vigil_candle_dyeing[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:slate_crystal_glass_pane[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'rainbowreef:milk_bottle_clownfish_cupcake[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'extra_compat:cloggrum_great_axe[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'knavesneeds:betternether/cincinnasite_diamond/spear[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'doom_and_gloom:amber_vigil_candle_dyeing[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:indigo_crystal_glass[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:quark/raw_lead_brick_slab[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'extra_compat:froststeel_hammer[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'doom_and_gloom:tan_vigil_candle[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'knavesneeds:betternether/cincinnasite_diamond/longsword[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:quark/glance_pillar_stonecutter[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'knavesneeds:betternether/cincinnasite_diamond/warglaive[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'autumnity:wallpapers/lime_wallpaper_roll[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'doom_and_gloom:ginger_vigil_candle[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'knavesneeds:betternether/cincinnasite_diamond/claymore[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:coral_crystal_glass_pane[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'v_slab_compat:netherexp/yellow_nether_brick_stonecutter[minecraft:stonecutting]'! Falling back to vanilla: Ingredient 'ingredient' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:quark/glance_vertical_slab_stonecutter[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:waxed_slate_concrete_powder[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'extra_compat:cloggrum_club[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:ginger_crystal_glass[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:quark/raw_silver_brick_stairs[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'knavesneeds:betternether/cincinnasite_diamond/rapier[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'autumnity:wallpapers/light_gray_wallpaper_roll[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'doom_and_gloom:verdant_vigil_candle_dyeing[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:tan_crystal_glass[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'doom_and_gloom:beige_vigil_candle_dyeing[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
